distribution	version	license
annotated-doc	0.0.5	MIT
annotated-types	0.8.0	MIT
anthropic	0.125.0	MIT
anyio	4.15.1	MIT
asyncssh	2.24.0	EPL-2.0 OR GPL-2.0-or-later
attrs	26.1.0	MIT
backports.tarfile	1.2.0	License :: OSI Approved :: MIT License
build	1.6.1	MIT
certifi	2026.7.22	MPL-2.0
cffi	2.1.1	MIT-0
chardet	5.2.0	LGPL
charset-normalizer	3.5.1	MIT
click	8.5.0	BSD-3-Clause
contourpy	1.3.3	BSD 3-Clause License
croniter	6.2.4	MIT
cryptography	50.0.1	Apache-2.0 OR BSD-3-Clause
cssselect	1.3.0	BSD
cycler	0.12.1	Copyright (c) 2015, matplotlib project
cyclopts	4.25.3	Apache-2.0
ddgs	9.16.0	MIT
defusedxml	0.7.1	PSFL
distro	1.9.0	Apache License, Version 2.0
docstring_parser	0.18.0	MIT
dulwich	0.25.2	Apache-2.0 OR GPL-2.0-or-later
et_xmlfile	2.0.0	MIT
fastapi	0.141.1	MIT
filelock	4.0.1	MIT
fonttools	4.65.0	MIT
h11	0.16.0	MIT
httpcore	1.0.9	BSD-3-Clause
httpcore2	2.13.0	BSD-3-Clause
httpx	0.28.1	BSD-3-Clause
httpx-sse	0.4.3	MIT
httpx2	2.13.0	BSD-3-Clause
hundun-client	0.1.0	Apache-2.0
hundun-client	0.1.0	Apache-2.0
idna	3.20	BSD-3-Clause
importlib_metadata	9.0.1	Apache-2.0
jaraco.classes	3.4.0	License :: OSI Approved :: MIT License
jaraco.context	6.1.2	MIT
jaraco.functools	4.6.0	MIT
jeepney	0.9.0	MIT
Jinja2	3.1.6	License :: OSI Approved :: BSD License
jiter	0.17.0	MIT
json_repair	0.63.4	MIT
jsonschema	4.26.0	MIT
jsonschema-specifications	2025.9.1	MIT
keyring	25.7.0	MIT
kiwisolver	1.5.1	=========================
loguru	0.7.3	License :: OSI Approved :: MIT License
lxml	6.1.3	BSD-3-Clause
lxml_html_clean	0.4.5	BSD-3-Clause
markdown-it-py	4.2.0	License :: OSI Approved :: MIT License
MarkupSafe	3.0.3	BSD-3-Clause
matplotlib	3.11.2	License agreement for matplotlib versions 1.3.0 and later
mcp	1.30.0	MIT
mdurl	0.1.2	License :: OSI Approved :: MIT License
more-itertools	11.1.0	MIT
nanobot-ai	0.3.5	MIT
numpy	2.4.6	BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0
oauth-cli-kit	0.1.6	MIT
openai	3.17.0	Apache-2.0
openpyxl	3.1.5	MIT
packaging	26.3	Apache-2.0 OR BSD-2-Clause
pillow	12.3.0	MIT-CMU
pip	24.0	MIT
platformdirs	4.11.12	MIT
pooch	1.9.0	BSD-3-Clause
primp	2.0.1	MIT License
prompt_toolkit	3.0.53	License :: OSI Approved :: BSD License
pycparser	3.0	BSD-3-Clause
pydantic	2.13.5	MIT
pydantic-settings	2.15.0	MIT
pydantic_core	2.46.5	MIT
Pygments	2.21.0	BSD-2-Clause
PyJWT	2.14.0	MIT
pyparsing	3.3.3	MIT
pypdf	5.9.0	BSD-3-Clause
pyproject_hooks	1.3.3	MIT
python-dateutil	2.9.0.post0	Dual License
python-docx	1.2.0	MIT
python-dotenv	1.2.3	BSD-3-Clause
python-multipart	0.0.32	Apache-2.0
python-pptx	1.0.2	MIT
pyvista	0.49.0	MIT
pyvista-validation	0.2.2	MIT
PyYAML	6.0.3	MIT
qrcode	8.2	BSD
questionary	2.1.1	MIT
RapidFuzz	3.14.6	MIT
readability-lxml	0.9	Apache-2.0
referencing	0.37.0	MIT
regex	2026.9.10	Apache-2.0 AND CNRI-Python
requests	2.34.2	Apache-2.0
rich	14.3.4	MIT
rich-rst	2.1.0	MIT
rpds-py	2026.6.3	MIT
ruff	0.16.8	MIT
scooby	0.12.0	MIT
SecretStorage	3.5.0	BSD-3-Clause
setproctitle	1.3.7	BSD-3-Clause
setuptools	79.0.1	metadata
shellingham	1.5.4	ISC License
six	1.17.0	MIT
sniffio	1.3.1	MIT OR Apache-2.0
socksio	1.0.0	UNKNOWN
sse-starlette	3.4.11	BSD-3-Clause
starlette	1.6.0	BSD-3-Clause
tiktoken	0.14.0	MIT License
truststore	0.10.4	MIT
typer	0.27.2	MIT
typing-inspection	0.4.4	MIT
typing_extensions	4.16.0	PSF-2.0
tzdata	2026.4	Apache-2.0
tzlocal	5.4.4	MIT
urllib3	2.8.0	MIT
uvicorn	0.53.0	BSD-3-Clause
vtk	9.7.0	BSD
watchfiles	1.3.0	MIT
wcwidth	0.8.4	MIT
websockets	16.1.1	BSD-3-Clause
xlsxwriter	3.2.9	BSD-2-Clause
zipp	4.1.0	MIT
