step,rank,full_step_ns,advance_ns,observables_ns,visit_ns,evidence_resources_ns,csv_ns,checkpoint_ns,candidate_ns,state_copy_ns,velocity_halo_ns,thermo_ns,boundary_derived_ns,flux_ns,certificate_ns,residual_ns,equivalence_hash_ns,schur_prepare_ns,krylov_ns,recovery_ns,baseline_evaluations,extrapolation_evaluations,ladder_evaluations,incomplete_evaluations,rejected_extrapolations,reported_collective_subtotal,structured_control,ibm_control,pressure_calls,pressure_prepare_ns,pressure_solve_ns,pressure_close_ns,diagonal_calls,diagonal_prepare_ns,diagonal_solve_ns,diagonal_close_ns,spatial_calls,spatial_prepare_ns,spatial_solve_ns,spatial_close_ns,A_apply_ns,M_apply_ns,arnoldi_dot_ns,arnoldi_reduce_ns,arnoldi_update_ns,final_momentum_ns,terminal_metrics_ns,boundary_ledger_ns,structured_wait_ns,structured_control_ns,dropped_loops,scalar_remap_ns,scalar_coupling_sweeps,scalar_remap_iterations
1001,0,10621514552,10609880701,11146926,40,403322,83533,30,2492203349,792403,116181140,235370776,600030708,506192018,199383086,658521509,175707125,239799528,4704279171,18974196,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92878614,3492674870,16279233,1,146920914,1211604301,2694963,1722704755,2354632850,95396683,151176549,34623411,198619402,5141760,31305069,319212274,430412538,0,0,0,0
1001,1,10621512292,10609877852,11148475,50,402512,83373,30,2491609686,781082,116213616,233409808,602157884,505395063,200004386,658644220,174979846,239754123,4704340744,18977508,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92866931,3492688622,16303025,1,146887192,1211652122,2674483,1660628770,2347009027,98342788,198976299,34758926,198566051,5195451,31303980,345462940,409466591,0,0,0,0
1001,2,10621515022,10609879801,11148186,50,403072,83803,110,2506519579,840817,116140825,233261902,603205186,504093952,200435892,658514626,189999859,239819287,4704359876,18894323,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92900113,3492622271,16330174,1,146919174,1211737605,2564149,1661124888,2349518342,97334069,202488265,35744908,198645103,5116449,31303379,354128689,411350953,0,0,0,0
1001,3,10621512662,10609878461,11148716,50,401872,83533,30,2492195604,754283,116257818,233034005,602517378,504953507,200416351,658672870,175566684,239744954,4704290921,19023408,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92865292,3492639379,16338425,1,146879662,1211651542,2684983,1667535440,2352266322,97649313,192348863,34842190,198564501,5195551,31303840,396156676,404651682,0,0,0,0
1001,4,10621515392,10609879221,11151566,40,400382,84043,140,2491829972,789004,116177616,231296981,604113745,505780443,199800841,658520870,175325091,239816876,4704263963,19003387,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92898053,3492642881,16322534,1,146918823,1211621082,2680853,1663003795,2350425388,98150824,198045993,35833571,198643913,5115939,31295939,392225582,410568953,0,0,0,0
1001,5,10621506922,10609870001,11149976,50,403422,83423,50,2492957108,852915,116174674,232030137,603517806,505080362,200313145,658671903,176289825,239765954,4704405524,18899345,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92877802,3492640338,16335466,1,146888152,1211765186,2563879,1669380963,2351872764,98110633,194098197,36409468,198562321,5198331,31297709,419429281,407656379,0,0,0,0
1001,6,10621515232,10609881261,11147056,50,403122,83713,30,2492129185,698201,116207598,232564953,602854564,505676781,199873632,658557150,175672154,239810207,4704407064,18847514,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92892613,3492673130,16278004,1,146917594,1211733934,2569510,1693642177,2346101224,94968813,176729936,35758784,198634993,5125359,31304990,388464099,408031214,0,0,0,0
1001,7,10621513012,10609874561,11151986,50,402912,83453,50,2491500515,775373,116242497,232203988,603339853,505231319,200144809,658686442,174850570,239802056,4704389535,18900585,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92910793,3492641400,16310194,1,146891263,1211748135,2590391,1685328101,2351330419,97539454,174522109,36044195,198565751,5195401,31306239,397760411,402492371,0,0,0,0
1001,8,10621513642,10609880321,11148556,50,400842,83823,50,2486863078,761265,116196868,228139462,607247112,506766123,198827051,658517249,170372720,239799584,4704105486,19160733,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92889302,3492543496,16419608,1,146910282,1211561990,2741125,1656637927,2347119189,100293596,191149568,32642286,198620533,5143209,31300150,424573840,440718793,0,0,0,0
1001,9,10621511732,10609878181,11148326,60,401662,83473,30,2486821667,734251,116283770,230524960,605015792,506458765,198927733,658661230,170181646,239742943,4704256771,19075670,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92858861,3492557427,16439049,1,146884082,1211699344,2636621,1661784500,2352982478,98165974,192189721,33531100,198569821,5194191,31296399,415359560,442767639,0,0,0,0
