step,time,requested_bdf_order,bdf_order,attempts,retry,restart_recovery,temporal_fallback,terminal_audit_present,final_flux_revision,eos,eos_tolerance,continuity,continuity_tolerance,energy,energy_tolerance,closed_mass,closed_mass_tolerance,gauge,gauge_tolerance,p_min,p_max,T_min,T_max,rho_min,rho_max,provisional_cfl_out,provisional_cfl_abs,provisional_cfl_limit,committed_cfl_out,committed_cfl_abs,committed_cfl_limit,afc_metrics_applicable,afc_retained_l1_ratio,afc_minimum_face_alpha,afc_active_correction_faces,afc_limited_faces,afc_limited_face_fraction,afc_limited,thermo_predictor_theta,thermo_predictor_limited,pressure_solve_calls,refinement_solve_calls,linear_iterations,max_rank_step_ns,included,exclusion,fluid_count,fluid_p_min,fluid_p_min_cell,fluid_p_max,fluid_p_max_cell,fluid_T_min,fluid_T_min_cell,fluid_T_max,fluid_T_max_cell,fluid_rho_min,fluid_rho_min_cell,fluid_rho_max,fluid_rho_max_cell,solid_placeholder_count,solid_placeholder_p_min,solid_placeholder_p_min_cell,solid_placeholder_p_max,solid_placeholder_p_max_cell,solid_placeholder_T_min,solid_placeholder_T_min_cell,solid_placeholder_T_max,solid_placeholder_T_max_cell,solid_placeholder_rho_min,solid_placeholder_rho_min_cell,solid_placeholder_rho_max,solid_placeholder_rho_max_cell
10511,0.14514547689080246,2,2,1,0,0,0,1,3513,0,9.9999999999999995e-07,2.1103261351428625e-07,9.9999999999999995e-07,7.5221407938637208e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107115.94540585573,107142.13245019893,283.73383941160648,369.47241586806183,1.0061876204134474,1.3102369872470192,0.27270905240730042,0.27271125300163762,0.80000000000000004,0.27259772826217799,0.27259794931925618,0.80000000000000004,1,0.99999136636281427,1.0501372868005729e-07,17939527,266,1.4827592723041137e-05,1,1,0,2,4,166,9274195223,0,development,5994352,107115.94540585573,4725218,107142.13245019893,5194830,299.98290837322895,5205334,300.0229189086499,5201218,1.2390051325059455,4608938,1.2392477023828599,5194830,75920,107136.1006180746,48886,107136.1006180746,48886,283.73383941160648,1815907,369.47241586806183,986443,1.0061876204134474,986443,1.3102369872470192,1815907
10512,0.14515928580307444,2,2,1,0,0,0,1,3514,0,9.9999999999999995e-07,2.1288531126055287e-07,9.9999999999999995e-07,8.3874858697626505e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107116.01494738291,107142.1355115995,283.73383941160648,369.47241586806183,1.0061876204134474,1.3102369872470192,0.27241552359330434,0.27241772148450277,0.80000000000000004,0.27226305853496857,0.27226323943374653,0.80000000000000004,1,0.9999895986289099,4.0174473761607801e-07,17939498,295,1.6444161369509894e-05,1,1,0,2,4,159,9433838763,0,development,5994352,107116.01494738291,4725218,107142.1355115995,5194830,299.98293720802712,4971861,300.02291942062129,5201218,1.2390058235122026,4608938,1.2392477286373558,5194830,75920,107136.1006180746,48886,107136.1006180746,48886,283.73383941160648,1815907,369.47241586806183,986443,1.0061876204134474,986443,1.3102369872470192,1815907
10513,0.14517309471534642,2,2,1,0,0,0,1,3515,0,9.9999999999999995e-07,1.2893884050645009e-07,9.9999999999999995e-07,8.7079572681699414e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107116.08286863622,107142.13509567107,283.73383941160648,369.47241586806183,1.0061876204134474,1.3102369872470192,0.27128736692251471,0.27128968085655647,0.80000000000000004,0.27097025257692836,0.27097071874165385,0.80000000000000004,1,0.99999384948205661,2.1935956565751629e-06,17939563,545,3.0379781268919427e-05,1,1,0,2,4,163,8772206258,0,development,5994352,107116.08286863622,4725218,107142.13509567107,5194830,299.9832275252171,5322070,300.02292240905086,5201218,1.2390064895238182,4608938,1.2392477297305191,642126,75920,107136.1006180746,48886,107136.1006180746,48886,283.73383941160648,1815907,369.47241586806183,986443,1.0061876204134474,986443,1.3102369872470192,1815907
10514,0.14518690362761841,2,2,1,0,0,0,1,3516,0,9.9999999999999995e-07,1.6134692462741489e-07,9.9999999999999995e-07,8.3844645080540904e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107116.13260353505,107142.13201722021,283.73383941160648,369.47241586806183,1.0061876204134474,1.3102369872470192,0.2708376786758781,0.27083989995735197,0.80000000000000004,0.27043868559102352,0.2704393077050436,0.80000000000000004,1,0.99999316161026119,0.041287343131037449,17939472,1043,5.813994971535394e-05,1,1,0,2,4,160,8751625749,0,development,5994352,107116.13260353505,4725218,107142.13201722021,5194830,299.98369223293463,5322070,300.02293081543871,5201218,1.239007000509345,4608938,1.2392477138568534,642126,75920,107136.1006180746,48886,107136.1006180746,48886,283.73383941160648,1815907,369.47241586806183,986443,1.0061876204134474,986443,1.3102369872470192,1815907
10515,0.14520071253989039,2,2,1,0,0,0,1,3517,0,9.9999999999999995e-07,1.3595190655181349e-07,9.9999999999999995e-07,7.4348799017926712e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107116.16685169285,107142.12735829252,283.73383941160648,369.47241586806183,1.0061876204134474,1.3102369872470192,0.2701908421046017,0.27019290476238866,0.80000000000000004,0.26980855604192155,0.2698090397427893,0.80000000000000004,1,0.99998669780511418,0.09235458219142062,17939417,882,4.9165477339648217e-05,1,1,0,2,4,169,9137768538,0,development,5994352,107116.16685169285,4725218,107142.12735829252,642126,299.98364572750074,4621652,300.02294363137128,5201218,1.2390073794610339,4608938,1.2392476773320862,642126,75920,107136.1006180746,48886,107136.1006180746,48886,283.73383941160648,1815907,369.47241586806183,986443,1.0061876204134474,986443,1.3102369872470192,1815907
10516,0.14521452145216238,2,2,1,0,0,0,1,3518,0,9.9999999999999995e-07,1.4687801862595238e-07,9.9999999999999995e-07,8.2938076195130401e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107116.25790099896,107142.1215560038,283.73383941160648,369.47241586806183,1.0061876204134474,1.3102369872470192,0.26895019573001727,0.26895207368998636,0.80000000000000004,0.26870504523364386,0.26870824316897612,0.80000000000000004,1,0.99998934084711666,0.11534573400902449,17939432,694,3.8685728734332277e-05,1,1,0,2,4,170,8991273179,0,development,5994352,107116.25790099896,4725218,107142.1215560038,5194830,299.98388381415157,4621652,300.02295948712958,5201218,1.2390082140159289,4608938,1.2392476248272284,642126,75920,107136.1006180746,48886,107136.1006180746,48886,283.73383941160648,1815907,369.47241586806183,986443,1.0061876204134474,986443,1.3102369872470192,1815907
10517,0.14522833036443436,2,2,1,0,0,0,1,3519,0,9.9999999999999995e-07,1.416464225168988e-07,9.9999999999999995e-07,6.7962373715714711e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107116.34967578889,107142.11496943748,283.73383941160648,369.47241586806183,1.0061876204134474,1.3102369872470192,0.26794908149576796,0.26794906920454165,0.80000000000000004,0.2675621698981257,0.2675619564942176,0.80000000000000004,1,0.99998711432192999,0.17013513483698239,17939488,580,3.2330911562247483e-05,1,1,0,2,4,173,8986238191,0,development,5994352,107116.34967578889,4725218,107142.11496943748,5194830,299.9839412238702,4621652,300.02298147379503,5201218,1.2390090683418684,4608938,1.2392475647946455,642126,75920,107136.1006180746,48886,107136.1006180746,48886,283.73383941160648,1815907,369.47241586806183,986443,1.0061876204134474,986443,1.3102369872470192,1815907
10518,0.14524213927670634,2,2,1,0,0,0,1,3520,0,9.9999999999999995e-07,1.7653449530340213e-07,9.9999999999999995e-07,7.2911219849685463e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107116.42566840867,107142.1070418615,283.73383941160648,369.47241586806183,1.0061876204134474,1.3102369872470192,0.26923187823131206,0.26923220396990455,0.80000000000000004,0.26914743379566991,0.2691480962450854,0.80000000000000004,1,0.99998502339698314,1.7754341039312807e-06,17939474,680,3.7905236240482862e-05,1,1,0,2,4,159,8603456888,0,development,5994352,107116.42566840867,4725218,107142.1070418615,5194830,299.98419509399042,4621652,300.02300002073616,5201218,1.2390097770342363,4608938,1.2392475003287715,642126,75920,107136.1006180746,48886,107136.1006180746,48886,283.73383941160648,1815907,369.47241586806183,986443,1.0061876204134474,986443,1.3102369872470192,1815907
10519,0.14525594818897833,2,2,1,0,0,0,1,3521,0,9.9999999999999995e-07,2.0569902797962962e-07,9.9999999999999995e-07,9.2968903692969035e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107116.42809405382,107142.09727176011,283.73383941160648,369.47241586806183,1.0061876204134474,1.3102369872470192,0.27058626230036625,0.27058666818605487,0.80000000000000004,0.27032455719332621,0.27032397910052747,0.80000000000000004,1,0.99998492152302509,7.2386044963245416e-07,17939510,873,4.8663536517998538e-05,1,1,0,2,3,130,7667134577,0,development,5994352,107116.42809405382,4725218,107142.09727176011,5194830,299.98425835095901,2520406,300.02301379808569,5201218,1.2390098982007249,4608938,1.2392474244967682,642126,75920,107136.1006180746,48886,107136.1006180746,48886,283.73383941160648,1815907,369.47241586806183,986443,1.0061876204134474,986443,1.3102369872470192,1815907
10520,0.14526975710125031,2,2,1,0,0,0,1,3522,0,9.9999999999999995e-07,1.3468522612369504e-07,9.9999999999999995e-07,5.2387970576571825e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107116.41816934891,107142.08655226811,283.73383941160648,369.47241586806183,1.0061876204134474,1.3102369872470192,0.27068004913259258,0.27068216222497421,0.80000000000000004,0.2702509423673114,0.27025203024592037,0.80000000000000004,1,0.99998920428894977,6.5476574914423078e-07,17939419,1350,7.5253273252606448e-05,1,1,0,2,4,164,8815861069,0,development,5994352,107116.41816934891,4725218,107142.08655226811,5194830,299.98448569196535,4971862,300.02301933026513,5201218,1.239009918088994,4608938,1.2392473368373731,642126,75920,107136.1006180746,48886,107136.1006180746,48886,283.73383941160648,1815907,369.47241586806183,986443,1.0061876204134474,986443,1.3102369872470192,1815907
