step,rank,level,initialized,complete,attempts,successes,failures,apply_ns,reduction_ns,visits,pre_smooth_calls,pre_smooth_ns,residual_calls,residual_ns,restriction_calls,restriction_ns,prolongation_calls,prolongation_ns,post_smooth_calls,post_smooth_ns,terminal_calls,terminal_ns,direct_mpi_calls,direct_mpi_ns,halo_wait_ns,halo_control_ns,halo_control_calls,source_meta_sha256
10511,82,-1,1,1,158,158,0,1942001929,75593995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,82,0,1,1,0,0,0,0,0,158,158,468234136,0,0,158,196228047,158,51366316,158,255333009,0,0,0,0,197158910,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,82,1,1,1,0,0,0,0,0,316,316,79273798,0,0,316,61630536,316,17644244,316,64769097,0,0,632,5607637,96447819,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,82,2,1,1,0,0,0,0,0,474,474,71648437,0,0,474,10446308,474,7182311,474,15029154,0,0,1264,3160542,71435239,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,82,3,1,1,0,0,0,0,0,632,632,34772455,0,0,632,4664335,632,6447649,632,9637500,0,0,1896,2280385,39124536,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,82,4,1,1,0,0,0,0,0,790,790,7304169,0,0,790,2835134,790,15675169,790,8896484,0,0,2528,2442164,13129005,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,82,5,1,1,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,948,192497004,2528,107231141,12286180,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,82,-1,1,1,151,151,0,1966792893,108730752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,82,0,1,1,0,0,0,0,0,151,151,441650707,0,0,151,189256555,151,48269423,151,229726269,0,0,0,0,169108237,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,82,1,1,1,0,0,0,0,0,302,302,110302559,0,0,302,58610646,302,17224028,302,61600706,0,0,604,5148871,126065937,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,82,2,1,1,0,0,0,0,0,453,453,84906986,0,0,453,11390028,453,6620580,453,14674136,0,0,1208,3293457,86341005,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,82,3,1,1,0,0,0,0,0,604,604,45709519,0,0,604,4480612,604,23258460,604,7347368,0,0,1812,2185244,47803401,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,82,4,1,1,0,0,0,0,0,755,755,8823975,0,0,755,3607430,755,28729196,755,11999001,0,0,2416,2254436,36010286,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,82,5,1,1,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,906,173885929,2416,93325006,25020611,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,82,-1,1,1,155,155,0,1794178468,46048886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,82,0,1,1,0,0,0,0,0,155,155,459138418,0,0,155,193273805,155,50241066,155,236261909,0,0,0,0,181883016,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,82,1,1,1,0,0,0,0,0,310,310,63022534,0,0,310,44859479,310,17483627,310,63657151,0,0,620,5093081,64103687,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,82,2,1,1,0,0,0,0,0,465,465,73353457,0,0,465,12402676,465,6790350,465,15134903,0,0,1240,3146937,74796944,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,82,3,1,1,0,0,0,0,0,620,620,19920401,0,0,620,4468035,620,5311453,620,7772168,0,0,1860,2176418,22278598,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,82,4,1,1,0,0,0,0,0,775,775,7010031,0,0,775,3165210,775,12251394,775,9632897,0,0,2480,2235356,13198071,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,82,5,1,1,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,930,160104839,2480,77084558,8969449,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,82,-1,1,1,152,152,0,1740276629,51025555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,82,0,1,1,0,0,0,0,0,152,152,438163811,0,0,152,187213175,152,49491756,152,232387510,0,0,0,0,167809022,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,82,1,1,1,0,0,0,0,0,304,304,61969543,0,0,304,44007391,304,17042036,304,62193859,0,0,608,5272508,63468443,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,82,2,1,1,0,0,0,0,0,456,456,69255947,0,0,456,10079435,456,6510779,456,14608008,0,0,1216,3093927,69246118,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,82,3,1,1,0,0,0,0,0,608,608,16175781,0,0,608,4250784,608,5759708,608,7828272,0,0,1824,2193066,18351541,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,82,4,1,1,0,0,0,0,0,760,760,6554824,0,0,760,2722249,760,12189758,760,8075250,0,0,2432,2473182,11217940,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
