step,rank,full_step_ns,advance_ns,observables_ns,visit_ns,evidence_resources_ns,csv_ns,checkpoint_ns,candidate_ns,state_copy_ns,velocity_halo_ns,thermo_ns,boundary_derived_ns,flux_ns,certificate_ns,residual_ns,equivalence_hash_ns,schur_prepare_ns,krylov_ns,recovery_ns,baseline_evaluations,extrapolation_evaluations,ladder_evaluations,incomplete_evaluations,rejected_extrapolations,reported_collective_subtotal,structured_control,ibm_control,pressure_calls,pressure_prepare_ns,pressure_solve_ns,pressure_close_ns,diagonal_calls,diagonal_prepare_ns,diagonal_solve_ns,diagonal_close_ns,spatial_calls,spatial_prepare_ns,spatial_solve_ns,spatial_close_ns,A_apply_ns,M_apply_ns,arnoldi_dot_ns,arnoldi_reduce_ns,arnoldi_update_ns,final_momentum_ns,terminal_metrics_ns,boundary_ledger_ns,structured_wait_ns,structured_control_ns,dropped_loops,scalar_remap_ns,scalar_coupling_sweeps,scalar_remap_iterations,source_meta_sha256
10511,0,9286139501,9274170972,11477255,60,395630,95535,49,2065141145,596901,106941029,203553475,486765790,422341633,158971803,552104207,133847768,198007520,4103900443,16658439,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75905918,2850800188,13742690,1,122101602,1253100255,2915749,1428712861,1945277165,121318768,197720560,56582045,201833292,4934081,33133998,319105615,333527966,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,1,9286137962,9274165702,11482635,49,393620,95905,51,2065195817,587408,106803721,202031581,488366522,422123613,159228069,551930220,134111381,198059141,4103832430,16725833,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75916227,2850781118,13814574,1,122142914,1253051312,2911259,1412347946,1946033220,126842910,205540821,57621663,201814180,4940491,33141178,298002782,317318983,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,2,9286143402,9274169742,11481584,51,393629,98346,50,2064573586,606752,106946617,201630341,488680935,422498226,158809816,552091657,133294010,198007168,4104041461,16432956,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75917717,2850941997,13519787,1,122089451,1253099464,2913169,1422886605,1943804650,122406649,200856452,55816464,201839952,4911910,33125648,285032420,306962545,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,3,9286138661,9274162442,11486225,49,394060,95825,60,2064941094,581990,106789121,203869375,486547877,422943064,158414653,551932316,133843898,198050843,4103980217,16574285,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75940521,2850904543,13653576,1,122110322,1253075674,2920709,1405083332,1947272322,118832023,212665966,59596880,201814429,4949672,33137889,324761686,299731176,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,4,9286143932,9274175652,11474655,40,395330,98205,50,2064576714,406650,106836604,203019162,487346838,422538825,158782896,552088268,133537902,198036980,4104020249,16485640,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75939219,2850905144,13588382,1,122097761,1253115105,2897258,1417902163,1940702535,119976894,203418308,55695889,201824080,4929561,33126347,284422686,293417276,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,5,9286139322,9274179962,11469375,40,393969,95936,40,2065083232,575339,106803250,202314055,488094698,422842201,158524673,551924578,133987598,198063663,4103986587,16546764,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75924819,2850918944,13651066,1,122138844,1253067643,2895698,1403485371,1945398680,122318396,212327133,60186625,201813940,4940281,33136028,369246460,300067201,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,6,9286141022,9274174722,11474704,140,395411,95974,71,2064523843,641334,106857344,201096973,489302118,422430690,158862960,552090827,133223657,198028151,4104051510,16406095,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75935760,2850937745,13507487,1,122092391,1253113765,2898608,1398486207,1944094130,125324027,210770511,55587958,201823640,4928301,33137238,291817957,309828967,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,7,9286139671,9274164172,11486625,49,392831,95914,80,2063869901,604143,106788537,203478346,486909175,422678904,158692342,551936818,132764084,198033602,4104006877,16571685,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75929730,2850918013,13658926,1,122103872,1253088864,2912759,1425223950,1942388330,118358540,200179141,57045763,201814249,4950272,33127258,309607976,301204152,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,8,9286140722,9274165752,11484845,40,394530,95435,120,2061973582,584222,106865682,199547255,490827215,423780189,157541497,552071614,130732028,198034491,4103867741,16651688,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75940890,2850797838,13700587,1,122093601,1253069903,2951101,1384808700,1938138222,124915277,226468395,57036885,201836092,4930751,33128157,360105859,333775593,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,9,9286139302,9274172812,11477974,51,392469,95936,60,2061560542,598750,106829294,200251659,490122041,423974794,157366448,551911198,130473487,198071312,4103792137,16752934,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75936069,2850766056,13812354,1,122135243,1253026081,2940580,1374326696,1944116003,124800628,229204485,54975772,201820460,4947232,33118597,352762412,331896468,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,10,9286141171,9274165772,11485125,40,394450,95604,180,2062133890,605474,106946916,200745555,489545679,424027462,157288560,552088499,130861455,198034150,4103911793,16647690,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75939339,2850817449,13721540,1,122094811,1253094344,2926150,1374526068,1945163078,127847836,227563081,59955273,201872803,4882059,33133588,323608237,331744583,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,11,9286139241,9274167302,11482954,291,392900,95674,120,2061974614,611101,106818914,200654881,489691855,423753160,157650258,551887146,130882929,198066163,4103776157,16774135,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75929780,2850742585,13833365,1,122136383,1253033572,2940770,1370908422,1946944288,126494830,228375144,55017467,201819791,4938951,33127238,330258640,336834533,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,12,9286141661,9274166462,11484625,40,394230,96255,49,2062384103,652013,106823756,200813816,489566261,423608489,157728697,552022502,131150780,198041010,4103869822,16601125,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75935239,2850789928,13661045,1,122105771,1253079894,2940080,1501098320,1943480027,116119400,115661716,60048171,201823061,4934851,33133698,307365865,331204424,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,13,9286139452,9274165162,11485394,51,392969,95816,60,2062096609,616122,106787169,200758858,489636054,423788660,157571854,551911248,131007705,198048202,4103725223,16850049,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75931529,2850742215,13846555,1,122116673,1252983008,3003494,1381402944,1945076625,119371993,227852059,58823797,201819561,4935791,33145229,302778479,333361524,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,14,9286142632,9274168152,11482944,51,394140,97194,151,2062272317,614552,106871626,199093162,491262685,423689714,157626189,552058167,131040814,198046191,4103649469,16897422,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75950740,2850596887,13928880,1,122095451,1253052582,2968542,1380799110,1946096951,129450678,219130680,57472739,201861843,4890689,33129748,261614458,342904005,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,15,9286139811,9274161532,11489054,40,393371,95654,160,2062311128,650933,106765591,201278679,489085429,424279372,157092313,551901477,131237383,198047051,4103779999,16789343,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75932329,2850759598,13817021,1,122114722,1253020401,2972322,1350178359,1949480621,122086669,242505726,60080722,201818851,4942601,33123618,285736041,358361961,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,16,9286139572,9274160591,11489936,190,392150,96645,60,2064813438,674143,106753018,202883516,487549678,422356347,158955026,552118798,133506171,198041038,4104023161,16527332,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75935146,2850936967,13590102,1,122105892,1253086194,2937230,1397656819,1948315083,126856814,211684497,56752159,201830460,4942812,33108567,371626290,320048324,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,17,9286138731,9274158721,11492956,40,391149,95816,49,2064573487,617961,106792791,202966247,487442295,422825119,158508526,551939818,133462626,198099753,4103993427,16539645,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75978211,2850922664,13618205,1,122121542,1253070763,2921440,1411290508,1943855498,120303260,213064716,56586586,201817271,4936661,33134268,369953567,287659448,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,18,9286141391,9274160592,11491545,60,392840,96294,60,2064575885,654515,106787237,202740968,487693317,422717793,158562958,552143060,133258807,198105885,4103994297,16509112,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75977732,2850895212,13589393,1,122128153,1253099085,2919719,1430346622,1942648174,125876338,196072094,55433488,201832561,4919751,33123297,330795829,286078484,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,19,9286138251,9274161632,11489305,150,391279,95836,49,2064626508,602282,106777069,202466882,487961980,422784589,158553805,551940220,133518272,198105333,4103912374,16638738,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75987571,2850886083,13664926,1,122117762,1253026291,2973812,1398110371,1948306695,126155869,217393905,56192248,201816640,4938421,33126538,408943594,277880006,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,20,9286140852,9274159621,11492486,60,392480,96145,60,2064892662,659354,106774980,202824521,487609042,422687044,158607767,552119108,133592835,198065522,4104067192,16474939,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75944439,2850946336,13572271,1,122121083,1253120856,2902668,1411480175,1947524737,127887966,202088967,56867238,201825160,4927821,33130858,385809674,272575192,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,21,9286139761,9274161742,11490625,50,391530,95754,60,2064363405,589959,106796359,204644916,485779558,422714623,158613920,551950950,133255408,198077232,4104000018,16532045,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75960590,2850904944,13625086,1,122116642,1253095074,2906959,1429617659,1939714596,116893651,197886673,57703238,201817070,4940741,33126748,405973157,285439259,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,22,9286145822,9274163161,11489096,40,393150,95955,4420,2064979766,638802,106821115,203316675,487110613,422313525,158962856,552137360,133664708,198068250,4104044350,16487910,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75948448,2850925665,13583731,1,122119802,1253118685,2904179,1417999310,1938736140,116424314,211911418,55875122,201825590,4926331,33126758,420368947,295906125,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,23,9286139002,9274160941,11490396,40,391760,95814,51,2064467939,608572,106785320,202713917,487697646,422528143,158815860,551935048,133365523,198086393,4103990636,16567507,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75961550,2850917853,13641417,1,122124843,1253072783,2926090,1412524920,1941761239,125517180,203420993,59387571,201816351,4936821,33122217,369996534,287332454,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
