step,rank,attempt,scalar_coupling_sweep,dt,attempt_status,corrector,refinement,kind,invoked,iterations,A_calls,M_calls,linear_initial,linear_final,linear_criterion_valid,linear_rhs_norm,linear_atol,linear_rtol,linear_residual_limit,prepare_ns,solve_ns,close_ns,A_ns,M_ns,dot_ns,reduce_ns,update_ns,mg_refill_ns,mg_copy_ns,structured_wait_ns,structured_control_ns,globalization_valid,baseline_candidates,extrapolated_candidates,ladder_candidates,incomplete_candidates,candidate_ns,baseline_continuity,baseline_energy,selected_continuity,selected_energy,selected_alpha,dropped_loops,mg_enabled,mg_complete,mg_attempts,mg_successes,mg_failures,mg_apply_ns,mg_reduction_ns,mg_halo_wait_ns,mg_halo_control_ns,mg_halo_control_calls,mg_pre_smooth_calls,mg_pre_smooth_ns,mg_residual_calls,mg_residual_ns,mg_restriction_calls,mg_restriction_ns,mg_prolongation_calls,mg_prolongation_ns,mg_post_smooth_calls,mg_post_smooth_ns,mg_terminal_calls,mg_terminal_ns,mg_direct_mpi_calls,mg_direct_mpi_ns,mg_finest_pre_smooth_ns,mg_finest_post_smooth_ns,fgmres_available,fgmres_norm_restarts,fgmres_unsafe_norms,fgmres_discarded_columns,fgmres_explicit_reorthogonalizations,fgmres_unsafe_restarts,fgmres_happy_restarts,fgmres_length_restarts,fgmres_initial_residual_applies,fgmres_arnoldi_applies,fgmres_unsafe_residual_applies,fgmres_interior_residual_applies,fgmres_cycle_residual_applies,source_meta_sha256
10511,78,1,1,1.3808912271980337e-05,0,1,0,2,1,27,39,27,0.13515187240323825,9.0361531319228063e-06,1,0.13515187240323825,1e-08,0.0001,1.3515187240323827e-05,122138663,1253173959,2831614,714968497,314454079,11144415,119587785,5552114,80934,0,73566625,3548121,1,1,0,1,0,324448620,0.00032939570572548777,8.7393518257814574e-05,2.2391086320965667e-07,3.384227121261353e-07,1,0,1,1,27,27,0,314301195,5712260,47514530,0,0,405,103639172,0,0,405,41837053,405,16522293,405,60817082,162,33309875,1512,21825925,80319394,44149640,1,8,8,8,0,8,0,0,1,27,8,3,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,1,1,1.3808912271980337e-05,0,2,0,1,1,19,29,19,0.2620413490470081,1.4763014894235304e-05,1,0.16396622043571249,1e-08,0.0001,1.6396622043571251e-05,15436707,384938351,2729989,104039690,222101184,14236396,6157986,7067831,11468255,2002883,36026670,9743734,1,1,0,1,0,299053155,0.00046130881311836285,0.00012018337847241932,3.425745204770239e-06,0.00012789016682760205,1,0,1,1,19,19,0,222038920,3259281,36016799,0,0,285,75292889,0,0,285,29304811,285,11419182,285,42811902,114,21788819,1064,13654398,58214359,31032234,1,4,5,4,1,4,0,0,1,19,4,5,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,1,1,1.3808912271980337e-05,0,2,1,1,1,32,45,32,0.015862174636017808,1.4161817327297049e-08,1,0.015862174636017808,1e-08,9.9999999999999995e-07,1.5862174636017806e-08,15091749,645981969,2789902,162427821,370516526,31955190,12988322,17347904,10363178,1190511,70047080,15920314,1,1,0,1,0,301495780,3.425745204770239e-06,0.00012789016682760205,4.2412136409121296e-06,2.0728866895427739e-05,1,0,1,1,32,32,0,370360967,9916312,70026345,0,0,480,123962549,0,0,480,59818018,480,19004080,480,63905526,192,39291194,1792,24585427,94924819,45329859,1,5,5,5,0,5,0,0,1,32,5,7,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,1,1,1.3808912271980337e-05,0,2,2,1,1,27,41,27,0.0015942552553563044,5.8388899337860778e-09,1,0.0015942552553563044,1e-08,2.1158303710747213e-06,1e-08,14756022,544700129,2702497,151714129,319934008,13278367,12476633,4675930,10433201,1493856,57958127,18231061,1,1,1,0,0,302316421,4.2412136409121296e-06,2.0728866895427739e-05,1.4956682784053168e-06,6.2033010580826668e-06,1.1981527639935912,0,1,1,27,27,0,319763631,11458501,57944134,0,0,405,107061373,0,0,405,45411881,405,17559070,405,56809283,162,34127500,1512,21944579,81890183,39049889,1,7,7,7,1,7,0,0,1,27,7,6,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,1,1,1.3808912271980337e-05,0,2,3,1,1,28,41,28,0.00048217153961915377,8.6357737790818574e-09,1,0.00048217153961915377,1e-08,9.9999999999999995e-07,1e-08,16069359,564803402,2728509,148430309,321651814,24421102,12971529,11980256,11374999,1546359,54586288,14458181,1,1,1,0,0,297646683,1.4956682784053168e-06,6.2033010580826668e-06,1.2926582937033386e-06,5.3872250064445417e-06,1.7155354588191363,0,1,1,28,28,0,321539871,10399708,54567298,0,0,420,108798303,0,0,420,43034195,420,18794949,420,55956513,168,35769016,1568,22738748,83514196,39786897,1,6,6,6,0,6,0,0,1,28,6,6,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,1,1,1.3808912271980337e-05,0,2,4,1,1,25,35,25,0.00042290516003619518,8.751953179196154e-09,1,0.00042290516003619518,1e-08,9.9999999999999995e-07,1e-08,14628965,710400418,2730589,128520554,394757978,25291328,40584979,12641070,10452382,1597142,78070661,12924027,1,1,1,1,0,537453787,1.2926582937033386e-06,5.3872250064445417e-06,2.1103261351428625e-07,7.5221407938637208e-07,1,0,1,1,25,25,0,394626972,55403745,78058612,0,0,375,113159622,0,0,375,53554604,375,15255916,375,51033098,150,63124031,1400,51464448,74146917,35929111,1,4,4,4,0,4,0,0,1,25,4,5,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,1,1,1.3808912271980337e-05,0,1,0,2,1,25,40,25,0.13540119174591983,1.1137232919519084e-05,1,0.13523027070482063,1e-08,0.0001,1.3523027070482063e-05,135168095,1244894210,2632823,727413725,290596632,10360699,109351790,5334083,11827243,2070326,67741048,3150200,1,1,0,1,0,326628607,0.00031205354691063995,7.7477274071909675e-05,2.1597472140589223e-07,3.5218360828250723e-07,1,0,1,1,25,25,0,290489854,5647859,43218707,0,0,375,94541062,0,0,375,38556447,375,14146690,375,56647413,150,29839650,1400,19065912,72595721,41000029,1,8,9,8,1,8,0,0,1,25,8,6,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,1,1,1.3808912271980337e-05,0,2,0,1,1,18,26,18,0.26111057611272004,1.1797177635078724e-05,1,0.16312459418448005,1e-08,0.0001,1.6312459418448006e-05,15678488,374993110,2530859,93452129,209593523,18630975,7913404,13119978,10531196,1519178,31940627,8847904,1,1,0,1,0,303215114,0.00039715019468961608,0.00010364567551202407,3.1641525387010635e-06,0.00011081995666844466,1,0,1,1,18,18,0,209521507,4376420,31930863,0,0,270,71302767,0,0,270,26926448,270,10505598,270,40293748,108,20597972,1008,12762828,54506858,29185906,1,2,2,2,0,2,0,0,1,18,2,5,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,1,1,1.3808912271980337e-05,0,2,1,1,1,36,56,36,0.015782040343763074,1.3213651137374546e-08,1,0.015782040343763074,1e-08,9.9999999999999995e-07,1.5782040343763072e-08,14899408,938219375,2846785,204401431,543134443,18267724,62960056,6266839,10473843,1520768,122625384,23710393,1,1,0,1,0,409986360,3.1641525387010635e-06,0.00011081995666844466,3.7073480173787915e-06,1.7642815161423369e-05,1,0,1,1,36,36,0,542963627,56210880,122604302,0,0,540,165510527,0,0,540,68707118,540,38184411,540,74901170,216,76878065,2016,60007915,108709575,51617222,1,11,11,11,1,11,0,0,1,36,11,8,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,1,1,1.3808912271980337e-05,0,2,2,1,1,24,35,24,0.0015842417750910149,7.9812421808657804e-09,1,0.0015842417750910149,1e-08,1.8028126806246755e-06,1e-08,21770910,583946129,2675706,144198532,347672926,16919922,25547741,7928183,13616734,1501437,98331282,29948591,1,1,1,0,0,349022785,3.7073480173787915e-06,1.7642815161423369e-05,1.4603016907350001e-06,5.5938531334343484e-06,1.1941911983531794,0,1,1,24,24,0,347578186,15644308,98317327,0,0,360,124486520,0,0,360,52951947,360,14674924,360,51691412,144,43589504,1344,32578912,72323032,35808032,1,4,5,4,1,4,0,0,1,24,4,6,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,1,1,1.3808912271980337e-05,0,2,3,1,1,24,33,24,0.00047108417267746936,9.4005214315272369e-09,1,0.00047108417267746936,1e-08,9.9999999999999995e-07,1e-08,15173173,611629138,2774332,123906728,303495766,46028783,30080744,28983635,10906585,1650614,60985182,14720491,1,1,1,0,0,355191358,1.4603016907350001e-06,5.5938531334343484e-06,1.3507024351986628e-06,5.4237977996835486e-06,1.7579302643052557,0,1,1,24,24,0,303389759,21158477,60970799,0,0,360,107345917,0,0,360,37214827,360,14788038,360,49586393,144,30588554,1344,19049408,68347573,35049145,1,2,2,2,0,2,0,0,1,24,2,6,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,1,1,1.3808912271980337e-05,0,2,4,1,1,24,35,24,0.0004351717429512289,8.4293779485240578e-09,1,0.0004351717429512289,1e-08,9.9999999999999995e-07,1e-08,15117730,459604545,2751310,126506616,273634880,14073208,5666278,5447800,10657792,1447703,44632927,11807465,1,1,0,1,0,298158224,1.3507024351986628e-06,5.4237977996835486e-06,2.1288531126055287e-07,8.3874858697626505e-07,1,0,1,1,24,24,0,273509828,4912764,44619648,0,0,360,95486318,0,0,360,36848366,360,14424032,360,50118055,144,29815556,1344,18493677,74177855,36148679,1,6,7,6,1,6,0,0,1,24,6,4,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,78,1,1,1.3808912271980337e-05,0,1,0,2,1,23,32,23,0.13530517627641594,1.1662752063876847e-05,1,0.13513357631356393,1e-08,0.0001,1.3513357631356394e-05,132952580,1042738938,2696297,581888081,271587070,12645423,101781591,6467320,10621341,1465695,62344802,3086508,1,1,0,1,0,345785826,0.00029959208763454513,7.8980825085259019e-05,2.3100093320880295e-07,2.9918846931946009e-07,1,0,1,1,23,23,0,271477065,7240710,41785691,0,0,345,89268941,0,0,345,36451618,345,13080976,345,50243464,138,29304783,1288,19739642,68145291,36519736,1,5,5,5,0,5,0,0,1,23,5,3,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,78,1,1,1.3808912271980337e-05,0,2,0,1,1,21,30,21,0.25973165088570466,7.8535275418345614e-06,1,0.1622955717905924,1e-08,0.0001,1.6229557179059242e-05,15159092,437957701,2741840,106540615,250327617,22194750,8943495,10400830,11344017,2294757,40433358,10814096,1,1,0,1,0,298695768,0.00036909210210423979,9.5848154674053196e-05,3.1988347734598775e-06,0.00010487301101025503,1,0,1,1,21,21,0,250261937,7050103,40419517,0,0,315,84165786,0,0,315,32623746,315,12391273,315,46351658,126,24786766,1176,16048488,64025403,33469501,1,3,3,3,0,3,0,0,1,21,3,5,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,78,1,1,1.3808912271980337e-05,0,2,1,1,1,32,47,32,0.015708181780465673,1.4592931672749069e-08,1,0.015708181780465673,1e-08,9.9999999999999995e-07,1.5708181780465672e-08,14994113,679514130,2577601,170357092,370715065,37517503,22545771,21948738,10820341,1674565,60585358,16758724,1,1,0,1,0,296602473,3.1988347734598775e-06,0.00010487301101025503,3.6386006878526999e-06,1.4935107165625729e-05,1,0,1,1,32,32,0,370580096,17083358,60567496,0,0,480,125042990,0,0,480,49449416,480,18732422,480,62668829,192,41964461,1792,27042256,93787996,45181702,1,7,7,7,0,7,0,0,1,32,7,7,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,78,1,1,1.3808912271980337e-05,0,2,2,1,1,29,41,29,0.0015793267100558143,5.6205700991124242e-09,1,0.0015793267100558143,1e-08,1.5371949811730689e-06,1e-08,14899718,556762589,2746609,150174035,336450201,13458038,11560817,4664199,10571808,1503897,55911748,14932269,1,1,1,0,0,301547464,3.6386006878526999e-06,1.4935107165625729e-05,1.164422860016166e-06,4.4515719686519653e-06,1.1716580468004785,0,1,1,29,29,0,336309271,10909680,55897308,0,0,435,117868870,0,0,435,45126469,435,17411961,435,59175089,174,36518715,1624,23046894,90597345,42066942,1,8,9,8,2,8,0,0,1,29,8,3,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,78,1,1,1.3808912271980337e-05,0,2,3,1,1,23,32,23,0.0004313909284540339,5.8680294330154487e-09,1,0.0004313909284540339,1e-08,9.9999999999999995e-07,1e-08,14867356,454535192,2661136,115581358,259144052,22564312,7411495,11347806,10489974,1537598,43721508,10552743,1,1,1,0,0,310593663,1.164422860016166e-06,4.4515719686519653e-06,1.0318594208447781e-06,4.002035686074201e-06,1.6722058420449173,0,1,1,23,23,0,259032859,5591686,43708048,0,0,345,89372534,0,0,345,35342344,345,13466094,345,47069037,138,27904835,1288,17016775,68287790,33501889,1,3,4,3,2,3,0,0,1,23,3,5,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,78,1,1,1.3808912271980337e-05,0,2,4,1,1,27,40,27,0.0003600147409611565,7.177863679547273e-09,1,0.0003600147409611565,1e-08,9.9999999999999995e-07,1e-08,15143941,539151749,2725029,145623885,307364962,16279067,23135559,6361035,10448852,1284345,51750271,15060729,1,1,1,1,0,450674354,1.0318594208447781e-06,4.002035686074201e-06,1.2893884050645009e-07,8.7079572681699414e-07,1,0,1,1,27,27,0,307213821,5582776,51732059,0,0,405,106404919,0,0,405,42175814,405,16502951,405,55501453,162,34042875,1512,21313589,82049790,39408237,1,7,7,7,1,7,0,0,1,27,7,5,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
